Country,Date,New_cases,Total_Cases,Total_Percent
Austria,23 Dec 2020,2131,344278,3.87
Austria,24 Dec 2020,2847,347125,3.9
Austria,24 Dec 2020,2847,347125,3.9
Austria,24 Dec 2020,2847,347125,3.9
Austria,25 Dec 2020,1851,348976,3.92
Austria,25 Dec 2020,1851,348976,3.92
Austria,26 Dec 2020,1429,350405,3.94
Austria,27 Dec 2020,1408,351813,3.95
Austria,27 Dec 2020,1408,351813,3.95
Austria,28 Dec 2020,1592,353405,3.97
Austria,28 Dec 2020,1592,353405,3.97
Austria,28 Dec 2020,1592,353405,3.97
Austria,29 Dec 2020,1868,355273,3.99
Austria,30 Dec 2020,2550,357823,4.02
Austria,30 Dec 2020,2550,357823,4.02
Austria,31 Dec 2020,2913,360736,4.05
Austria,1 Jan 2021,2096,362832,4.08
Austria,1 Jan 2021,2096,362832,4.08
Austria,1 Jan 2021,2096,362832,4.08
Austria,2 Jan 2021,1391,364223,4.09
Austria,2 Jan 2021,1391,364223,4.09
Austria,3 Jan 2021,1466,365689,4.11
Austria,4 Jan 2021,1642,367331,4.13
Austria,4 Jan 2021,1642,367331,4.13
Austria,4 Jan 2021,1642,367331,4.13
Austria,5 Jan 2021,2311,369642,4.15
Austria,5 Jan 2021,2311,369642,4.15
Austria,6 Jan 2021,2469,372111,4.18
Austria,7 Jan 2021,2540,374651,4.21
Austria,7 Jan 2021,2540,374651,4.21
Austria,8 Jan 2021,2063,376714,4.23
Austria,8 Jan 2021,2063,376714,4.23
Austria,8 Jan 2021,2063,376714,4.23
Austria,9 Jan 2021,2278,378992,4.26
Austria,10 Jan 2021,1651,380643,4.28
Austria,10 Jan 2021,1651,380643,4.28
Austria,11 Jan 2021,1536,382179,4.29
Austria,12 Jan 2021,1575,383754,4.31
Austria,12 Jan 2021,1575,383754,4.31
Austria,12 Jan 2021,1575,383754,4.31
Austria,13 Jan 2021,1917,385671,4.33
Austria,13 Jan 2021,1917,385671,4.33
Austria,14 Jan 2021,3510,389181,4.37
Austria,15 Jan 2021,1528,390709,4.39
Austria,15 Jan 2021,1528,390709,4.39
Austria,16 Jan 2021,1723,392432,4.41
Austria,16 Jan 2021,1723,392432,4.41
Austria,16 Jan 2021,1723,392432,4.41
Austria,17 Jan 2021,1267,393699,4.42
Austria,18 Jan 2021,1161,394860,4.44
Austria,18 Jan 2021,1161,394860,4.44
Austria,19 Jan 2021,1486,396346,4.45
Austria,20 Jan 2021,1671,398017,4.47
Austria,20 Jan 2021,1671,398017,4.47
Austria,20 Jan 2021,1671,398017,4.47
Austria,21 Jan 2021,1702,399719,4.49
Austria,21 Jan 2021,1702,399719,4.49
Austria,22 Jan 2021,2088,401807,4.51
Austria,23 Jan 2021,1626,403433,4.53
Austria,23 Jan 2021,1626,403433,4.53
Austria,23 Jan 2021,1626,403433,4.53
Austria,24 Jan 2021,1202,404635,4.55
Austria,24 Jan 2021,1202,404635,4.55
Austria,25 Jan 2021,1009,405644,4.56
Austria,26 Jan 2021,1417,407061,4.57
Austria,26 Jan 2021,1417,407061,4.57
Austria,27 Jan 2021,1641,408702,4.59
Austria,27 Jan 2021,1641,408702,4.59
Austria,27 Jan 2021,1641,408702,4.59
Austria,28 Jan 2021,1449,410151,4.61
Austria,29 Jan 2021,1500,411651,4.62
Austria,29 Jan 2021,1500,411651,4.62
Austria,30 Jan 2021,1478,413129,4.64
Austria,31 Jan 2021,1190,414319,4.65
Austria,31 Jan 2021,1190,414319,4.65
